x,y,area_px,cell_type
1612,594,,ST
1700,594,,ST
1788,594,,ST
1877,594,,ST
61,599,,ST
370,599,,ST
458,599,,ST
608,599,,ST
696,599,,ST
885,599,,ST
973,599,,ST
1061,599,,ST
1150,599,,ST
1238,599,,ST
1462,599,,ST
1652,599,,ST
1740,599,,ST
1828,599,,ST
13,603,,ST
321,603,,ST
409,603,,ST
497,603,,ST
621,603,,ST
709,603,,ST
898,603,,ST
987,603,,ST
1075,603,,ST
1163,603,,ST
1251,603,,ST
1467,603,,ST
1678,603,,ST
1766,603,,ST
1855,603,,ST
39,608,,ST
405,608,,ST
493,608,,ST
590,608,,ST
678,608,,ST
872,608,,ST
960,608,,ST
1048,608,,ST
1136,608,,ST
1224,608,,ST
1436,608,,ST
1652,608,,ST
1740,608,,ST
1828,608,,ST
8,612,,ST
392,612,,ST
480,612,,ST
568,612,,ST
656,612,,ST
744,612,,ST
942,612,,ST
1031,612,,ST
1119,612,,ST
1207,612,,ST
1418,612,,ST
1634,612,,ST
1722,612,,ST
1810,612,,ST
1899,612,,ST
79,616,,ST
462,616,,ST
590,616,,ST
678,616,,ST
938,616,,ST
1026,616,,ST
1114,616,,ST
1202,616,,ST
1401,616,,ST
1617,616,,ST
1705,616,,ST
1793,616,,ST
1881,616,,ST
57,621,,ST
445,621,,ST
572,621,,ST
660,621,,ST
749,621,,ST
1009,621,,ST
1097,621,,ST
1185,621,,ST
1273,621,,ST
1462,621,,ST
1678,621,,ST
1766,621,,ST
1855,621,,ST
30,625,,ST
418,625,,ST
506,625,,ST
727,625,,ST
991,625,,ST
1079,625,,ST
1167,625,,ST
1392,625,,ST
1555,625,,ST
1687,625,,ST
1775,625,,ST
1863,625,,ST
35,630,,ST
427,630,,ST
555,630,,ST
740,630,,ST
1004,630,,ST
1092,630,,ST
1220,630,,ST
1410,630,,ST
1546,630,,ST
1678,630,,ST
1766,630,,ST
1855,630,,ST
26,634,,ST
418,634,,ST
506,634,,ST
740,634,,ST
1009,634,,ST
1097,634,,ST
1224,634,,ST
1418,634,,ST
1520,634,,ST
1639,634,,ST
1727,634,,ST
1815,634,,ST
1903,634,,ST
70,638,,ST
462,638,,ST
696,638,,ST
964,638,,ST
1053,638,,ST
1141,638,,ST
1392,638,,ST
1480,638,,ST
1568,638,,ST
1669,638,,ST
1758,638,,ST
1846,638,,ST
13,643,,ST
405,643,,ST
493,643,,ST
757,643,,ST
1026,643,,ST
1114,643,,ST
1242,643,,ST
1454,643,,ST
1542,643,,ST
1630,643,,ST
1718,643,,ST
1806,643,,ST
1894,643,,ST
61,647,,ST
449,647,,ST
550,647,,ST
973,647,,ST
1061,647,,ST
1150,647,,ST
1414,647,,ST
1502,647,,ST
1590,647,,ST
1678,647,,ST
1766,647,,ST
1855,647,,ST
22,652,,ST
409,652,,ST
497,652,,ST
749,652,,ST
1017,652,,ST
1105,652,,ST
1414,652,,ST
1502,652,,ST
1590,652,,ST
1678,652,,ST
1766,652,,ST
1855,652,,ST
22,656,,ST
405,656,,ST
493,656,,ST
749,656,,ST
1017,656,,ST
1105,656,,ST
1405,656,,ST
1493,656,,ST
1581,656,,ST
1669,656,,ST
1758,656,,ST
1846,656,,ST
13,660,,ST
101,660,,ST
480,660,,ST
749,660,,ST
1017,660,,ST
1105,660,,ST
1396,660,,ST
1484,660,,ST
1573,660,,ST
1661,660,,ST
1749,660,,ST
1837,660,,ST
0,665,,ST
88,665,,ST
467,665,,ST
555,665,,ST
1009,665,,ST
1097,665,,ST
1185,665,,ST
1476,665,,ST
1599,665,,ST
1687,665,,ST
1775,665,,ST
1863,665,,ST
26,669,,ST
405,669,,ST
493,669,,ST
947,669,,ST
1035,669,,ST
1123,669,,ST
1418,669,,ST
1506,669,,ST
1639,669,,ST
1727,669,,ST
1815,669,,ST
1903,669,,ST
66,674,,ST
449,674,,ST
537,674,,ST
1000,674,,ST
